Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Boston Bateman","BAL",11.3005,0,0,4.87115,33,33,0,0,,198,871.842,209.861,117.048,107.165,26.1866,77.4463,2.64995,9.80074,138.886,6.31301,3.52029,1.79332,1.1903,0.159302,0.0888306,0.07047134637832642,0.267477,1.45105,0.296478,0.679283,,,4.77349,1.22578,0.665613,999,,,,,,,616.4000000000001,3.1131313131313134,669,3.378787878787879,,,,,,,,,,,,,,,,,,,"Boston Bateman","sa3067145",815348
"Nick Margevicius","SFG",10.9645,0,0,4.93041,33,33,0,0,,198,852.981,212.555,118.472,108.469,31.6739,55.6343,2.59262,8.92481,136.296,6.19525,2.52883,2.44985,1.43972,0.159787,0.0652234,0.09456400573253632,0.269596,1.35449,0.291531,0.668843,,,4.81618,1.22293,0.571418,999,,,,,,,594.8,3.0040404040404036,651,3.287878787878788,,,,,,,,,,,,,,,,,,,"Nick Margevicius","20395",676606
"Duncan Davitt","CHW",10.5205,0,0,4.97918,33,33,0,0,,198,824.079,201.387,119.644,109.542,30.0107,62.2386,2.50477,8.9023,136.094,6.18608,2.82903,2.18664,1.36412,0.165146,0.0755251,0.08962137252092361,0.267468,1.33144,0.292035,0.649707,,,4.80874,1.22251,0.384283,999,,,,,,,632.6,3.194949494949495,659,3.3282828282828283,,,,,,,,,,,,,,,,,,,"Duncan Davitt","sa3020394",701474
"Kyle Muller",,11.3048,0,0,4.91156,33,33,0,0,,198,877.134,214.127,118.019,108.054,29.6831,69.2358,2.66603,9.57403,147.227,6.69214,3.14708,2.12646,1.34923,0.16785,0.0789341,0.08891592174768448,0.26822,1.43112,0.296813,0.683786,,,4.79097,1.21433,0.571418,999,,,,,,,596.8000000000001,3.0141414141414145,657,3.3181818181818183,,,,,,,,,,,,,,,,,,,"Kyle Muller","20167",666205
"Thomas Hatch","ARI",10.9332,0,0,5.00728,33,33,0,0,,198,859.802,212.585,120.319,110.16,27.2363,71.8484,2.61335,9.51609,136.683,6.21286,3.26584,1.90238,1.23801,0.15897,0.0835639,0.07540624588727951,0.273092,1.43653,0.301617,0.666313,,,4.77554,1.21247,0.384283,999,,,,,,,607.3,3.0671717171717168,667,3.3686868686868685,,,,,,,,,,,,,,,,,,,"Thomas Hatch","19264",641672
"Alex Pham","BAL",10.6493,0,0,4.84887,33,33,0,0,,198,819.046,184.074,116.512,106.675,30.2091,78.0386,2.48947,9.38139,160.851,7.31141,3.54721,2.06117,1.37314,0.196388,0.09528,0.10110840946435928,0.251596,1.3238,0.284637,0.662362,,,4.81835,1.21117,0.665613,999,,,,,,,678.8000000000001,3.428282828282829,661,3.3383838383838382,,,,,,,,,,,,,,,,,,,"Alex Pham","sa3017550",702129
"Hayden Birdsong","SFG",11.7208,0,0,4.79647,33,33,0,0,,198,894.872,195.413,115.253,105.522,31.047,95.9866,2.71995,10.6034,194.621,8.8464,4.36303,2.02758,1.41123,0.217485,0.107263,0.11022171378135681,0.247898,1.47172,0.292147,0.710457,,,4.82271,1.21018,0.85527,999,,,,,,,645.9000000000001,3.2621212121212126,656,3.313131313131313,,,,,,,,,,,,,,,,,,,"Hayden Birdsong","31635",806185
"Cade Gibson","MIA",10.5769,0,0,5.05629,33,33,0,0,,198,837.552,204.762,121.496,111.238,24.2964,79.8656,2.54572,9.59546,132.586,6.02666,3.63025,1.66012,1.10438,0.158302,0.095356,0.06294640153646469,0.273712,1.43751,0.305248,0.650929,,,4.74657,1.20511,0.291337,999,,,,,,,633,3.196969696969697,674,3.404040404040404,,,,,,,,,,,,,,,,,,,"Cade Gibson","31815",806188
"Julian Aguiar","CIN",10.571,0,0,5.02213,33,33,0,0,,198,833.054,209.767,120.676,110.487,29.6256,57.3794,2.53205,8.8167,126.178,5.73537,2.60815,2.19901,1.34662,0.151464,0.0688783,0.08258606493473053,0.273541,1.34923,0.294805,0.649047,,,4.8087,1.20143,0.291337,999,,,,,,,604.2,3.0515151515151517,654,3.303030303030303,,,,,,,,,,,,,,,,,,,"Julian Aguiar","30031",687924
"Brandon Birdsell","CHC",10.6536,0,0,4.98901,33,33,0,0,,198,835.66,206.041,119.88,109.758,30.5852,60.7824,2.53997,8.95056,136.337,6.19713,2.76284,2.24303,1.39024,0.163149,0.0727358,0.09041281044483185,0.269008,1.34759,0.292911,0.655986,,,4.82268,1.20095,0.384283,999,,,,,,,610.3000000000001,3.082323232323233,649,3.2777777777777777,,,,,,,,,,,,,,,,,,,"Brandon Birdsell","sa3020797",669361
