Name,Value,Age,PA
"Jace Bohrofen",1.27317,24.4658,132
"Jack Moroknek",1.27002,22.7726,97
"Ryan Sprock",1.25529,21.5233,95
"Alika Williams",1.25044,27.074,122
"Johanfran Garcia",1.24309,21.326,52
"Julio Henriquez",1.24216,21.4192,57
"Henry Godbout",1.23518,22.4164,112
"Brock Wilken",1.23419,23.8055,152
"Carson Tucker",1.22715,24.2,79
"Kane Kepley",1.22447,22.1425,129
"Sam Petersen",1.22184,23.211,139
"Jonathan Martinez",1.22157,19.6384,83
"Ivan Johnson",1.21975,27.4904,90
"Billy Carlson",1.21604,19.6877,134
"Eliezer Alfonzo",1.21529,26.5397,83
"Jack Gurevitch",1.21515,22.0767,128
"Maximo Acosta",1.21489,23.4384,72
"Drew Gilbert",1.21066,25.526,56
"Mason White",1.20933,22.5425,105
"Nick Montgomery",1.2061,20.411,76
"Jack Suwinski",1.20334,27.6932,150
"Liover Peguero",1.19599,25.2658,137
"Damon Keith",1.18698,25.8603,93
"Dalton McIntyre",1.18442,22.7233,92
"Freili Encarnacion",1.18297,21.1918,104
"Davis Diaz",1.17723,23.0986,127
"Adrian Santana",1.16781,20.7178,119
"Harry Ford",1.15262,23.1233,119
"Jean Walters",1.1494,24.6493,71
"César Prieto",1.14451,26.9123,115
"Blake Mitchell",1.1443,21.674,121
"Enrique Bradfield",1.14051,24.3452,57
"Daniel Vázquez",1.14022,22.3096,128
"Dominic Pitelli",1.13705,24.2164,77
"Max Durrington",1.13617,19.1425,93
"Luca Tresh",1.13474,26.2384,107
"Wenceel Pérez",1.13348,26.4384,51
"Drew Waters",1.12405,27.2712,104
"Chad Stevens",1.12224,27.1753,141
"Jorge Quintana",1.11939,19.0027,116
"Michael Turner",1.10773,27.6384,52
"Josiah Ragsdale",1.10616,22.2931,111
"Aaron Parker",1.1036,23.2192,74
"Billy Amick",1.10101,23.4219,128
"Jonny Farmelo",1.09834,21.5726,144
"Samad Taylor",1.08834,27.7425,147
"Tyler Gentry",1.08799,27.1808,84
"Maxton Martin",1.08583,20.9205,113
"Coby Morales",1.07999,24.337,134
"Roynier Hernandez",1.07717,21.3315,94
"Jud Fabian",1.06589,25.526,149
"Isaiah Barkett",1.06073,22.3863,105
"Robert Hassell III",1.0588,24.6438,119
"Marco Dinges",1.05864,22.5863,111
"Christian Encarnacion-Strand",1.05675,26.3507,128
"Jayson Bass",1.05525,19.937,114
"Johnathan Rodríguez",1.04849,26.4247,78
"Carlos Gutierrez",1.04427,21.6219,111
"Gage Miller",1.04291,23.1014,77
"Andrew Pinckney",1.03904,25.3315,123
"Braxton Fulford",1.03603,27.3288,88
"Yamal Encarnacion",1.03515,22.5781,113
"Buddy Kennedy",1.035,27.5068,139
"Anibal Salas",1.0337,20.5151,98
"T.J. White",1.02993,22.7069,108
"Brooks Bryan",1.02843,21.7288,107
"Ambioris Tavarez",1.02802,22.4,71
"Braiden Ward",1.01915,27.2192,91
"Sam Kulasingam",1.01742,24.7425,143
"Junior Franco",1.01606,23.5644,107
"Scott Bandura",1.00703,24.6795,147
"Cal Conley",1.00216,26.726,78
"Marcos Torres",0.999851,21.5151,133
"Jay Harry",0.995344,23.7205,75
"Braylin Tavera",0.993314,21.126,102
"Jacob Reimer",0.988391,22.1205,113
"Vinny Capra",0.987459,29.7534,114
"Juan Villavicencio",0.986406,21.3644,97
"Jihwan Bae",0.978374,26.7014,117
"Willy Vasquez",0.976895,24.5836,112
"Elijah Hainline",0.975855,23.2959,115
"Brock Rodden",0.975737,25.8685,164
"Aaron Zavala",0.975562,25.789,120
"Alfonsin Rosario",0.971062,21.7918,70
"Jace Avina",0.970773,22.8356,131
"Jacob Humphrey",0.968616,23.1836,127
"Bryan Torres",0.967189,28.7671,135
"Roc Riggio",0.964433,23.8219,123
"Enmanuel Tejeda",0.963362,21.2795,144
"Christian Franklin",0.963347,26.3534,156
"Brandon Compton",0.962973,22.4438,105
"Brett Wisely",0.960391,26.9178,107
"Anthony Huezo",0.954115,20.4247,114
"Truitt Madonna",0.952071,19.0685,134
"Justin Foscue",0.942697,27.1014,140
"Daniel Pierce",0.941129,19.6712,86
"Nick Rodriguez",0.938678,23.4384,123
"Caden Merritt",0.93777,18.8822,75
"Callan Moss",0.923383,22.6,121
"Dakota Jordan",0.920842,22.9123,139
"Frederi Montero",0.920731,19.2301,127
"Marvin Alcantara",0.919002,21.4247,113
"Carson DeMartini",0.918229,23.2767,108
"Michael Toglia",0.916969,27.6438,159
"Félix Amparo",0.914958,20.1041,86
"Carson Roccaforte",0.913108,24.0247,153
"Jacob Amaya",0.91181,27.5945,112
"Ethan Hedges",0.90822,21.9644,123
"Ryan Ward",0.906341,28.1205,153
"Brett Callahan",0.905922,24.4274,131
"Nick Schnell",0.902613,26.0301,104
"Bryan Ramos",0.901564,24.0712,127
"Steward Berroa",0.900095,26.8411,118
