Name,Team,Level,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,NameASCII,PlayerId,MLBAMID
"Joey Wiemer","WSN","ST",27,17,33,38,5,2,2,0,1,3,4,4,0,10,1,0,0,0,1,1,0.151515151,"Joey Wiemer","27690",686894
"Evan Carter","TEX","ST",23,13,29,38,6,2,1,1,2,5,6,8,0,8,0,1,0,0,1,0,0.206896551,"Evan Carter","27790",694497
"Colt Keith","DET","ST",24,13,32,37,7,6,1,0,0,4,4,5,0,13,0,0,0,0,0,0,0.21875,"Colt Keith","27899",690993
"Alejandro Osuna","TEX","ST",23,11,29,34,10,9,1,0,0,2,5,5,0,3,0,0,0,0,4,0,0.344827586,"Alejandro Osuna","27915",696030
"Petey Halpin","CLE","ST",24,15,30,36,8,4,2,0,2,10,5,5,0,9,1,0,0,0,3,0,0.266666666,"Petey Halpin","27931",690984
"Adael Amador","COL","ST",23,12,35,37,8,5,1,0,2,6,5,2,0,6,0,0,0,3,2,0,0.228571428,"Adael Amador","27962",691182
"Edgar Quero","CHW","ST",23,14,46,50,14,11,2,0,1,3,12,4,0,12,0,0,0,0,0,0,0.304347826,"Edgar Quero","28022",700337
"Jasson Domínguez","NYY","ST",23,14,40,45,13,8,2,0,3,9,10,4,0,11,0,1,0,0,3,1,0.325,"Jasson Dominguez","28080",691176
"Jhostynxon Garcia","PIT","ST",23,16,34,38,15,12,1,0,2,9,5,4,0,9,0,0,0,1,3,0,0.44117647,"Jhostynxon Garcia","28142",691373
"Coby Mayo","BAL","ST",24,12,31,34,14,9,3,0,2,3,12,1,0,1,0,2,0,1,1,0,0.451612903,"Coby Mayo","28312",691723
"Moisés Ballesteros","CHC","ST",22,11,31,33,11,7,2,0,2,4,8,2,0,5,0,0,0,1,0,0,0.354838709,"Moises Ballesteros","28820",694208
"Samuel Basallo","BAL","ST",21,12,32,36,12,5,4,0,3,9,10,4,0,9,0,0,0,1,0,0,0.375,"Samuel Basallo","28824",694212
"Carter Jensen","KCR","ST",22,12,36,39,9,6,0,0,3,7,8,3,0,10,0,0,0,0,1,0,0.25,"Carter Jensen","29478",695600
"Jackson Merrill","SDP","ST",23,16,43,46,10,3,5,0,2,6,6,3,0,11,0,0,0,1,0,0,0.232558139,"Jackson Merrill","29490",701538
"James Wood","WSN","ST",23,13,36,42,5,2,1,1,1,4,4,6,0,11,0,0,0,1,0,0,0.138888888,"James Wood","29518",695578
"Bryce Teodosio","LAA","ST",27,17,44,49,11,8,2,1,0,7,1,2,0,11,1,0,2,1,6,1,0.25,"Bryce Teodosio","29524",669326
"Tim Tawa","ARI","ST",27,14,41,50,12,7,3,0,2,10,7,7,0,10,1,1,0,0,0,0,0.292682926,"Tim Tawa","29571",694374
"Billy Cook","PIT","ST",27,16,34,41,9,4,3,0,2,7,7,6,0,13,1,0,0,0,1,1,0.264705882,"Billy Cook","29573",695257
"Ben Rice","NYY","ST",27,12,36,40,9,5,3,0,1,5,4,4,0,11,0,0,0,0,1,0,0.25,"Ben Rice","29576",700250
"Colton Cowser","BAL","ST",26,13,40,43,9,7,2,0,0,1,2,2,0,16,1,0,0,1,1,2,0.225,"Colton Cowser","29591",681297
"Connor Norby","MIA","ST",26,14,38,38,12,10,1,0,1,5,2,0,0,13,0,0,0,1,3,0,0.315789473,"Connor Norby","29592",681393
"Justyn-Henry Malloy","TBR","ST",26,14,36,38,8,6,2,0,0,2,5,2,0,8,0,0,0,2,1,1,0.222222222,"Justyn-Henry Malloy","29606",669234
"Chad Stevens","COL","ST",27,20,33,49,6,3,1,0,2,8,5,13,0,15,3,0,0,1,2,1,0.181818181,"Chad Stevens","29614",677060
"Sal Frelick","MIL","ST",26,14,43,48,7,6,0,1,0,5,2,5,0,4,0,0,0,1,2,0,0.162790697,"Sal Frelick","29622",686217
"Joey Loperfido","HOU","ST",27,15,34,41,11,9,1,0,1,7,5,7,0,8,0,0,0,0,3,0,0.323529411,"Joey Loperfido","29630",694388
"Caleb Durbin","BOS","ST",26,14,36,43,14,8,5,1,0,11,7,5,0,4,2,0,0,2,3,0,0.388888888,"Caleb Durbin","29646",702332
"Marcelo Mayer","BOS","ST",23,10,25,33,6,5,0,0,1,4,2,8,0,8,0,0,0,0,0,0,0.24,"Marcelo Mayer","29668",691785
"Matt McLain","CIN","ST",26,15,44,49,24,15,2,1,6,16,13,5,0,5,0,0,0,1,2,1,0.545454545,"Matt McLain","29695",680574
"Braxton Fulford","COL","ST",27,15,34,38,9,6,0,0,3,5,8,1,0,8,2,1,0,0,2,0,0.264705882,"Braxton Fulford","29704",690924
