"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Contreras, Willson","575929","38","14.5",31.6,"112.8","91.1","103.6","93.4","89.5","423","167","399","16",42.1,"6",15.8,8.3
"Norby, Connor","681393","38","16.2",26.3,"104.9","87.4","96.9","90.9","84","380","179","376","14",36.8,"4",10.5,6.5
"Jackson, Jeremiah","669236","38","-0.6",31.6,"109","87.3","98.7","90","85.2","427","143","406","11",28.9,"4",10.5,8
"Williamson, Ben","810938","38","4.3",36.8,"107","85.2","97.4","91.8","80.8","348","131",,"13",34.2,"0",0,0
"Rengifo, Luis","650859","38","3.7",23.7,"107.3","85.6","97.5","91.8","82","351","120",,"13",34.2,"3",7.9,6
"Hayes, Ke'Bryan","663647","38","24.3",34.2,"104.6","91.3","98.8","92.5","89.3","381","207",,"14",36.8,"2",5.3,4.5
"Sánchez, Jesús","660821","38","11.6",42.1,"112.3","91.4","100.7","92.6","90.6","417","170","412","17",44.7,"3",7.9,5.6
"Happ, Ian","664023","38","9.8",39.5,"111.2","90.9","102.7","95.6","84.5","393","181","377","19",50,"7",18.4,10
"Johnston, Troy","687859","38","7.8",36.8,"106.3","88.5","98.5","95.6","80.4","423","166","415","14",36.8,"2",5.3,3.9
"Kelly, Carson","608348","37","15.9",37.8,"108.4","95.2","102.7","96.2","97.3","422","175","422","23",62.2,"5",13.5,9.1
"Swanson, Dansby","621020","37","13.4",37.8,"108.9","90.7","101","97.9","83.5","394","179","377","21",56.8,"5",13.5,7.1
"Jung, Josh","673962","37","5.5",43.2,"106.3","89.7","99.8","92.1","87.6","379","131",,"18",48.6,"0",0,0
"Yelich, Christian","592885","37","-2.4",13.5,"111.1","89.4","100.9","94.3","87.8","421","90","421","15",40.5,"2",5.4,3.6
"Peña, Jeremy","665161","37","18.3",40.5,"106.5","86.1","97.4","89.2","83.8","368","190",,"11",29.7,"1",2.7,2.2
"Shaw, Matt","807713","37","12.1",35.1,"106","87.6","96.9","88.6","87.3","396","164","361","12",32.4,"3",8.1,6
"Hernández, Teoscar","606192","36","10",38.9,"110.7","89.7","99.6","92.7","86.7","414","170","393","14",38.9,"4",11.1,6.8
"Sheets, Gavin","657757","36","10.7",38.9,"109.2","88.7","100.3","95.4","87.5","434","150","425","16",44.4,"4",11.1,7.7
"Paredes, Isaac","670623","36","27.9",36.1,"105.3","88.5","96.4","90.9","87.9","362","197",,"10",27.8,"0",0,0
"Bader, Harrison","664056","36","9.7",27.8,"107.3","87.1","98.6","94.5","84.7","408","126","408","14",38.9,"3",8.3,5.5
"Okamoto, Kazuma","672960","36","20.2",33.3,"110.4","88.6","100.3","96.3","85","420","168","410","14",38.9,"3",8.3,4.7
"Alvarez, Francisco","682626","36","6.9",33.3,"109.5","89.6","102.7","98","82.9","429","163","415","18",50,"8",22.2,14.5
"Butler, Lawrence","671732","36","1.3",30.6,"110.8","87.9","103","96","81.8","376","148","365","17",47.2,"2",5.6,3.6
"Sanoja, Javier","691594","36","8.4",33.3,"103.7","89.4","98.1","88.8","91.5","362","146",,"13",36.1,"1",2.8,2.3
"Vargas, Ildemaro","545121","35","11.1",48.6,"108.9","86.4","99","94","78","431","168","405","13",37.1,"3",8.6,6.8
"Thomas, Alek","677950","35","14.3",37.1,"108","92.2","101.3","96.1","90","395","166",,"16",45.7,"2",5.7,3.8
"Ortiz, Joey","687401","35","-4",14.3,"104.4","85.4","96.7","90.1","83.2","386","112",,"12",34.3,"2",5.7,4.2
"Ozuna, Marcell","542303","35","26.5",34.3,"105.3","88","98.9","94.1","85","376","178",,"13",37.1,"1",2.9,1.9
"Benge, Carson","701807","35","6.2",37.1,"108.9","89.9","100.5","92.8","88.7","385","146","385","14",40,"1",2.9,1.8
"Beavers, Dylan","687637","34","15",26.5,"106.5","86.6","98.1","94.1","80","401","158","401","11",32.4,"1",2.9,2
"Muncy, Max","571970","34","14.5",32.4,"108.6","92.6","102.8","96.2","88.5","410","189","402","19",55.9,"6",17.6,9.5
"Winn, Masyn","691026","34","12.8",32.4,"108","87.4","96.9","93.5","85.4","371","156",,"9",26.5,"1",2.9,1.8
"Loperfido, Joey","694388","34","7.7",32.4,"105.7","90.5","98.9","94.8","88.3","334","118",,"14",41.2,"1",2.9,1.8
"Karros, Kyle","691720","34","13.5",47.1,"108.4","89.3","99.6","89.8","89.8","398","160",,"13",38.2,"2",5.9,3.6
"Vientos, Mark","668901","34","12.1",35.3,"108.6","87.2","97.9","87.9","87.6","406","146","406","12",35.3,"1",2.9,2.1
"Wallner, Matt","670242","34","10.6",32.4,"110.1","89.4","103.1","96.1","82.3","424","175","413","17",50,"3",8.8,4.2
"Horwitz, Spencer","687462","34","20.1",23.5,"101.8","83.7","95","85.7","85","376","155","376","9",26.5,"0",0,0
"Peraza, Oswald","672724","34","14.9",44.1,"110.1","88.4","101","96.2","82.3","396","170","379","14",41.2,"3",8.8,6
"Schwarber, Kyle","656941","33","27.7",45.5,"110.7","93.6","102.8","94.8","91.5","460","240","409","17",51.5,"9",27.3,12
"Carter, Evan","694497","33","17.8",54.5,"106.5","90.4","100","94.1","86.8","404","220","381","16",48.5,"4",12.1,6.9
"Moreno, Gabriel","672515","33","23.1",36.4,"110.2","87.4","99.3","92.6","79.2","408","196",,"14",42.4,"3",9.1,6.7
"Wells, Austin","669224","33","14.1",30.3,"110.5","93.5","102.3","96.9","91.1","396","162","396","18",54.5,"3",9.1,5.7
"Goodman, Hunter","696100","33","24.3",36.4,"111.1","92.7","102.3","95.5","89.3","435","208","397","16",48.5,"3",9.1,4.5
"Smith, Dominic","642086","33","10.8",42.4,"109.1","91.5","99.2","94.9","85.6","430","192","396","14",42.4,"3",9.1,7.3
"Murakami, Munetaka","808959","33","13.3",33.3,"111.1","92.8","104.5","102","82.9","431","181","399","19",57.6,"7",21.2,10
"Báez, Javier","595879","33","6.9",42.4,"104","86.7","98.4","86.6","88.4","381","148","354","13",39.4,"1",3,2.3
"Hernández, Heriberto","681715","33","8",18.2,"109.9","90.4","100.7","95.8","88.1","373","133",,"14",42.4,"2",6.1,4
"Basallo, Samuel","694212","32","19.3",15.6,"109.5","93.6","103.4","97.9","89.7","437","176","421","14",43.8,"4",12.5,7.4
"Yorke, Nick","694377","32","9.7",31.3,"113.5","89.4","102.8","91.1","88.7","373","153",,"16",50,"2",6.3,4.1
"Gorman, Nolan","669357","32","18.6",25,"110.3","87","99.6","94.2","76.3","443","194","431","13",40.6,"2",6.3,3.4
"Mayer, Marcelo","691785","32","10.3",34.4,"109.1","89.4","98.9","92.8","86.1","385","179","385","14",43.8,"4",12.5,8
"McKinstry, Zach","656716","32","13.1",31.3,"102.2","85.9","94.8","91.1","82.4","399","152","399","8",25,"1",3.1,2.3
"Fernandez, Jose","699912","32","14.8",37.5,"110.9","86","100","94","81.5","409","152","409","11",34.4,"3",9.4,6.8
"Raley, Luke","670042","32","12.1",50,"113.8","92.8","103.2","95.3","89.7","411","182","382","17",53.1,"6",18.8,10.2
"Realmuto, J.T.","592663","32","6.3",40.6,"105.5","88.5","99","91.6","83.9","401","168","401","13",40.6,"1",3.1,2
"Quero, Edgar","700337","32","8.5",18.8,"106.5","89.8","97.2","88.6","90.7","353","128",,"9",28.1,"0",0,0
"Lockridge, Brandon","663604","32","-1.1",9.4,"109.7","83.9","97.7","89.4","82","369","98",,"10",31.3,"1",3.1,2.2
"Jeffers, Ryan","680777","32","18.8",34.4,"109.7","92.7","105.1","96.5","89.1","419","177","403","16",50,"5",15.6,9.8
"Torkelson, Spencer","679529","31","16.2",45.2,"103.5","89.8","100.2","93.8","83","376","205",,"15",48.4,"3",9.7,4.8
"Caglianone, Jac","695506","31","2.8",35.5,"116.1","93.1","106","98.8","87.5","360","151",,"16",51.6,"4",12.9,7.4
"Castro, Willi","650489","31","16.7",25.8,"107.4","86.6","98.8","91.5","81.9","436","152","436","11",35.5,"2",6.5,3.4
"Manzardo, Kyle","700932","30","16.1",26.7,"108.4","91","99.8","96.7","88.5","454","141","454","11",36.7,"4",13.3,7.4
