Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Alejo Lopez","SEA",0.25,1,0.886,0.207,0.1587,0.0377,0.0026,0.0079,0.0952,0.08,0.0859,0.001,0.1817,0.017,0.0072,0.0039,,0.0175,0.0053,0.233634,0.0859,0.1817,0.472757,0.311113,0.308691,0.279808,0.619804,0.0750564,4.14389,0.282973,-0.001,-0.000390838,0.091164,-0.0269937,83.8244,-0.00139084,-0.008,-0.020455717109143734,-0.004000000189989805,0.00102122,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Alejo Lopez","21127",664670
"Braylen Wimmer","COL",0.25,1,0.9196,0.2341,0.1639,0.0476,0.0031,0.0195,0.1045,0.0997,0.0573,0,0.245,0.012,0.0072,0.0039,,0.0276,0.0078,0.254567,0.0573,0.245,0.233878,0.304588,0.376686,0.298312,0.681273,0.122118,4.97075,0.324022,0,0.000786255,0.106188,-0.0119702,76.2854,0.000786255,0,-0.027320475899614394,0.004000000189989805,0.00102024,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Braylen Wimmer","sa3022671",687918
"Calvin Harris","CHW",0.25,1,0.9078,0.192,0.1407,0.0341,0.0025,0.0147,0.0876,0.0828,0.0731,0,0.2416,0.008,0.0072,0.0039,,0.0095,0.003,0.2115,0.0731,0.2416,0.302566,0.274169,0.30315,0.258089,0.57732,0.0916501,3.55815,0.269167,0,-0.000792803,0.0735302,-0.0446275,62.0742,-0.000792803,0,-0.045492766541428864,0.020999999716877937,0.00101743,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Calvin Harris","sa3022496",691941
"Daz Cameron","MIL",0.36,1.50446,1.3546,0.3043,0.1881,0.0642,0.0061,0.0458,0.1632,0.166,0.1179,0,0.4114,0.0165,0.0107,0.0047,,0.0398,0.0114,0.224642,0.0783669,0.273453,0.286582,0.292525,0.382401,0.295243,0.674926,0.157759,5.22679,0.28466,0,0.00116246,0.156007,-0.021757,88.5908,0.00116246,-0.003,-0.01918129378464073,-0.02099999925121665,0.00101348,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Daz Cameron","18353",663662
"Jonathon Long","CHC",0.25,1.03011,0.9106,0.2223,0.157,0.0369,0.0035,0.0249,0.1121,0.107,0.0978,0,0.2383,0.0103,0.0074,0.0041,,0.0036,0.0011,0.244125,0.0949414,0.231335,0.410407,0.321996,0.374369,0.308038,0.696364,0.130244,3.07337,0.301466,0,-0.00148057,0.117519,-0.00419605,98.3933,-0.00148057,0,-0.0034421294694766402,-0.020999999716877937,0.00100804,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Jonathon Long","sa3022864",675085
"Dylan Dreiling","TEX",0.25,1,0.8952,0.1927,0.1308,0.0375,0.0029,0.0215,0.0994,0.0938,0.0867,0.002,0.2551,0.007,0.0072,0.0039,,0.0147,0.0047,0.215259,0.0867,0.2551,0.339867,0.287521,0.335679,0.276018,0.6232,0.12042,4.25007,0.27357,0,-0.000453604,0.0880874,-0.0300703,76.088,-0.000453604,0,-0.028636717615881935,0.004000000189989805,0.0010027,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Dylan Dreiling","sa3025251",702662
"Seth Stephenson","DET",0.25,1,0.9086,0.2073,0.1514,0.0387,0.0045,0.0127,0.1002,0.0858,0.0583,0,0.2201,0.022,0.0072,0.0039,,0.0609,0.0154,0.228153,0.0583,0.2201,0.26488,0.288726,0.322584,0.272317,0.61131,0.094431,6.43745,0.28492,0,0.00434383,0.085082,-0.0330757,71.8818,0.00434383,0,-0.028796751983463764,0.004000000189989805,0.000986328,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Seth Stephenson","sa3020495",700931
"Nate Mondou","SDP",0.28,1.14389,1.0118,0.2315,0.1677,0.0446,0.0057,0.0135,0.1104,0.0955,0.1068,0.0034,0.2483,0.0126,0.0082,0.0045,,0.0114,0.004,0.2288,0.0933658,0.217067,0.430125,0.307969,0.324175,0.282528,0.632144,0.0953746,4.06331,0.287523,-0.001,-0.00123096,0.106808,-0.0283509,82.8649,-0.00223096,-0.008,-0.025461783399805427,-0.0030000004917383194,0.000984333,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Nate Mondou","19563",670148
"Damon Dues",,0.25,1,0.8664,0.1842,0.1377,0.0348,0.0042,0.0075,0.0934,0.0727,0.1135,0,0.2688,0.009,0.0072,0.0039,,0.0228,0.0068,0.212604,0.1135,0.2688,0.422247,0.307901,0.288435,0.273059,0.596336,0.075831,4.81932,0.295831,0,0.0000575266,0.0856849,-0.0324728,76.3782,0.0000575266,0,-0.0279392369739071,0.004000000189989805,0.000956934,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Damon Dues","sa3017285",680815
"Omar Martinez","LAA",0.25,1,0.8888,0.168,0.1125,0.0285,0.0022,0.0248,0.0916,0.0887,0.0911,0.001,0.3365,0.009,0.0072,0.0039,,0.0044,0.0014,0.189019,0.0911,0.3365,0.270728,0.26915,0.309743,0.259037,0.578893,0.120725,3.20053,0.267814,0,-0.00109024,0.0743001,-0.0438576,61.8065,-0.00109024,0,-0.0461057226639241,0.020999999716877937,0.000954717,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Omar Martinez","25369",683079
"Riley Unroe","HOU",0.25,1,0.8807,0.1805,0.1257,0.0384,0.0023,0.0141,0.095,0.0814,0.1002,0,0.2779,0.008,0.0072,0.0039,,0.021,0.0065,0.204951,0.1002,0.2779,0.360561,0.28983,0.301805,0.267473,0.591636,0.0968548,4.58681,0.279242,-0.001,-0.00000599424,0.0811491,-0.0370087,69.371,-0.00100599,0,-0.03710584540385753,0.012000000104308128,0.000954704,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Riley Unroe","sa737614",624523
"Jake Fox","CLE",0.25,1,0.8719,0.1801,0.1247,0.0343,0.0062,0.015,0.096,0.0833,0.111,0,0.2534,0.006,0.0072,0.0039,,0.0165,0.005,0.20656,0.111,0.2534,0.438043,0.298263,0.311848,0.275525,0.610111,0.105287,4.77843,0.270345,0,-0.000343211,0.0876872,-0.0304705,75.5275,-0.000343211,0,-0.029186906554969028,0.004000000189989805,0.000946411,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Jake Fox","sa3017734",695780
