Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Ben Brutti","CIN",0.0396,0.0587,0,5.99112,1,0,0,0,,1,4.785,1.1018,0.7108,0.66568,0.149333,0.7549,,0.0661,0.6466,5.8194,6.7941,0.856537,1.344,0.135131,0.157764,-0.022633209824562073,0.277952,1.8567,0.300646,0.695482,,,6.19203,-0.0173681,-0.0439122,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Ben Brutti","sa3021478",804992
"Sam Jacobsak",,0.0401,0.0692,0.0225,5.83542,0.6133,0.0823,0,0,,1,4.673,1.1036,0.6893,0.64838,0.159,0.6237,,0.0508,0.647,5.823,5.6133,1.03736,1.431,0.138455,0.133469,0.004986092448234558,0.276004,1.7273,0.295881,0.689839,,,5.87739,-0.0173777,-0.0476734,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Sam Jacobsak","sa3015359",679556
"Sergio Sanchez",,0.0406,0.0577,0,5.73498,1,0,0,0,,1,4.717,1.0502,0.6776,0.63722,0.149111,0.7178,,0.0543,0.7289,6.5601,6.4602,1.01546,1.342,0.154526,0.152173,0.002353191375732422,0.266217,1.768,0.293812,0.699313,,,5.87784,-0.0173826,-0.0476734,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Sergio Sanchez","sa3009735",683928
"Juan Reynoso","MIA",0.0394,0.0589,0,5.71311,1,0,0,0,,1,4.751,1.0606,0.6785,0.63479,0.131556,0.7652,,0.0527,0.6931,6.2379,6.8868,0.905776,1.184,0.145885,0.161061,-0.01517575979232788,0.26966,1.8258,0.298878,0.698882,,,5.85861,-0.0173883,-0.0473821,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Juan Reynoso","sa3017790",702418
"Dawil Almonte",,0.0405,0.0578,0,5.75361,1,0,0,0,,1,4.673,1.1199,0.6815,0.63929,0.151556,0.61,,0.0551,0.5839,5.2551,5.49,0.957213,1.364,0.124952,0.130537,-0.005585290491580963,0.279423,1.7299,0.295909,0.690772,,,5.87861,-0.0173912,-0.0476734,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Dawil Almonte","sa3019084",805044
"Anyelo Ovando","LAA",0.0385,0.0598,0,5.89248,1,0,0,0,,1,4.737,1.0868,0.6971,0.65472,0.149778,0.711,,0.0666,0.6605,5.9445,6.399,0.928973,1.348,0.139434,0.150095,-0.010660767555236816,0.274486,1.7978,0.29755,0.693088,,,6.0398,-0.0174095,-0.0453003,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Anyelo Ovando","sa3015996",694041
"Peniel Otano",,0.0406,0.0577,0,5.68827,1,0,0,0,,1,4.76,1.0942,0.6781,0.63203,0.125444,0.7481,,0.0577,0.6243,5.6187,6.7329,0.834514,1.129,0.131155,0.157164,-0.026008397340774536,0.276718,1.8423,0.302315,0.698515,,,5.88047,-0.0174118,-0.0476734,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Peniel Otano","sa3016751",702785
"Davidxon Lara",,0.0404,0.0579,0,5.7798,1,0,0,0,,1,4.688,1.1316,0.6854,0.6422,0.147444,0.6254,,0.0493,0.5706,5.1354,5.6286,0.912376,1.327,0.121715,0.133404,-0.011689424514770508,0.281962,1.757,0.298658,0.691097,,,5.88057,-0.0174129,-0.0476734,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Davidxon Lara","sa3022127",808154
"Elvis Novas",,0.0406,0.0578,0,5.74119,1,0,0,0,,1,4.69,1.107,0.6804,0.63791,0.147556,0.6446,,0.0539,0.6066,5.4594,5.8014,0.941049,1.328,0.129339,0.137441,-0.00810234248638153,0.277339,1.7516,0.296368,0.693323,,,5.88141,-0.0174222,-0.0476734,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Elvis Novas","sa3016816",702860
"Trey Cooper","CHW",0.0388,0.0664,0.0145,5.733,0.7576,0.0516,0,0,,1,4.755,1.0682,0.6789,0.637,0.150222,0.7506,,0.0497,0.6633,5.9697,6.7554,0.883693,1.352,0.139495,0.157855,-0.018359631299972534,0.270109,1.8188,0.29224,0.708678,,,6.10808,-0.0174377,-0.0464822,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Trey Cooper","sa3076082",801858
