team,player_name,section,fg_id,mlb_id
mets,Ronny Mauricio,Projected Bench,23698,677595
mets,Sean Manaea,Projected Starting Rotation,15873,640455
mets,Tobias Myers,Projected Bullpen,22191,668964
mets,Tyrone Taylor,Projected Bench,13675,621438
nationals,Andrés Chaparro,Projected Bench,21797,665953
nationals,Brad Lord,Projected Starting Rotation,31972,695418
nationals,Brady House,Starting Lineup,29993,691781
nationals,Cade Cavalli,Projected Starting Rotation,27473,676917
nationals,Cionel Pérez,Projected Bullpen,19614,672335
nationals,CJ Abrams,Starting Lineup,25768,682928
nationals,Clayton Beeter,Projected Bullpen,27494,690925
nationals,Cole Henry,Projected Bullpen,27570,669371
nationals,Daylen Lile,Starting Lineup,29995,695734
nationals,Drew Millas,Projected Bench,25643,686452
nationals,Dylan Crews,Starting Lineup,33541,686611
nationals,Foster Griffin,Projected Starting Rotation,16432,656492
nationals,Griff McGarry,Projected Bullpen,sa3017130,676046
nationals,Jackson Rutledge,Projected Bullpen,26215,671131
nationals,Jacob Young,Starting Lineup,29931,696285
nationals,Jake Irvin,Projected Starting Rotation,21504,663623
nationals,James Wood,Starting Lineup,29518,695578
nationals,Joey Wiemer,Projected Bench,27690,686894
nationals,José Tena,Projected Bench,23691,677588
nationals,Julian Fernández,Projected Bullpen,18341,642759
nationals,Keibert Ruiz,Starting Lineup,19610,660688
nationals,Luis García Jr.,Starting Lineup,20391,671277
nationals,Miles Mikolas,Projected Starting Rotation,9803,571945
nationals,Nasim Nuñez,Starting Lineup,25979,683083
nationals,PJ Poulin,Projected Bullpen,23394,676571
nationals,Richard Lovelady,Projected Bullpen,19337,663992
orioles,Adley Rutschman,Starting Lineup,26288,668939
orioles,Blaze Alexander,Starting Lineup,23789,677942
orioles,Chris Bassitt,Projected Starting Rotation,12304,605135
orioles,Coby Mayo,Starting Lineup,28312,691723
orioles,Colton Cowser,Starting Lineup,29591,681297
orioles,Dean Kremer,Projected Starting Rotation,19350,665152
orioles,Dietrich Enns,Projected Bullpen,13932,608650
orioles,Dylan Beavers,Starting Lineup,31695,687637
orioles,Grant Wolfram,Projected Bullpen,21623,
orioles,Gunnar Henderson,Starting Lineup,26289,683002
orioles,Jeremiah Jackson,Projected Bench,22239,669236
orioles,Keegan Akin,Projected Bullpen,19362,669211
orioles,Kyle Bradish,Projected Starting Rotation,24586,680694
orioles,Leody Taveras,Projected Bench,18900,665750
orioles,Pete Alonso,Starting Lineup,19251,624413
orioles,Rico Garcia,Projected Bullpen,20023,
orioles,Ryan Helsley,Projected Bullpen,18138,664854
orioles,Ryan Mountcastle,Projected Bench,18373,663624
orioles,Samuel Basallo,Starting Lineup,28824,694212
orioles,Shane Baz,Projected Starting Rotation,22264,669358
orioles,Taylor Ward,Starting Lineup,17548,621493
orioles,Trevor Rogers,Projected Starting Rotation,22286,669432
orioles,Tyler O'Neill,Projected Bench,15711,641933
orioles,Tyler Wells,Projected Bullpen,20000,669330
orioles,Yennier Cano,Projected Bullpen,25911,666974
orioles,Zach Eflin,Projected Starting Rotation,13774,621107
padres,Adrian Morejon,Projected Bullpen,20039,670970
