rank,name,tier_num,tier_name,hand,team,mlbid
347,Cody Bradford,36,Hurt But You Forgot,LHP,TEX,674003
348,Jordan Montgomery,36,Hurt But You Forgot,LHP,TEX,656756
349,Christian Scott,36,Hurt But You Forgot,RHP,NYM,681035
350,DJ Herz,36,Hurt But You Forgot,LHP,WAS,687792
351,Jake Bloss,36,Hurt But You Forgot,RHP,TOR,814005
352,AJ Smith-Shawver,36,Hurt But You Forgot,RHP,ATL,700363
353,Nestor Cortes,36,Hurt But You Forgot,LHP,SDP,641482
354,Tylor Megill,36,Hurt But You Forgot,RHP,NYM,656731
355,Hayden Wesneski,36,Hurt But You Forgot,RHP,HOU,669713
356,Ronel Blanco,36,Hurt But You Forgot,RHP,HOU,669854
357,Griffin Canning,36,Hurt But You Forgot,RHP,SDP,656288
358,Trevor Williams,36,Hurt But You Forgot,RHP,WAS,592866
359,Jon Gray,37,Hammock Or Mound?,RHP,FA,592351
360,Wade Miley,37,Hammock Or Mound?,LHP,FA,489119
361,Tyler Anderson,37,Hammock Or Mound?,LHP,FA,542881
362,Patrick Corbin,37,Hammock Or Mound?,LHP,FA,571578
363,Charlie Morton,37,Hammock Or Mound?,RHP,FA,450203
364,Alex Cobb,37,Hammock Or Mound?,RHP,FA,502171
365,Michael Kopech,37,Hammock Or Mound?,RHP,FA,656629
366,Marcus Stroman,37,Hammock Or Mound?,RHP,FA,573186
367,Spencer Turnbull,37,Hammock Or Mound?,RHP,FA,605513
368,Pablo López,38,Out For 2026 Just So You Know,RHP,MIN,641154
369,Logan Evans,38,Out For 2026 Just So You Know,RHP,SEA,688138
370,Reese Olson,38,Out For 2026 Just So You Know,RHP,DET,681857
371,Bowden Francis,38,Out For 2026 Just So You Know,RHP,TOR,670102
372,Yu Darvish,38,Out For 2026 Just So You Know,RHP,SDP,506433
373,John Means,38,Out For 2026 Just So You Know,LHP,FA,607644
374,Tanner Houck,38,Out For 2026 Just So You Know,RHP,BOS,656557
375,Frankie Montas,38,Out For 2026 Just So You Know,RHP,FA,593423
376,Alec Marsh,38,Out For 2026 Just So You Know,RHP,KCR,679525
377,Nabil Crismatt,38,Out For 2026 Just So You Know,RHP,TEX,622503
378,Blake Walston,39,The Rest Who Could Find Random Starts,LHP,ARI,686796
379,Tommy Henry,39,The Rest Who Could Find Random Starts,LHP,ARI,674072
380,Yu-Min Lin,39,The Rest Who Could Find Random Starts,LHP,ARI,801179
