Name,Team,Level,Age,W,L,ERA,G,GS,CG,ShO,SV,BS,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,NameASCII,PlayerId,MLBAMID
"Kyle Freeland","COL","ST",33,0,1,1.8,2,2,0,0,0,0,0,5,21,4,1,1,1,3,0,0,0,0,6,"Kyle Freeland","16256",607536
"Ryan Borucki","CHW","ST",32,2,0,0,6,1,0,0,0,0,1,6,21,3,0,0,0,1,0,0,0,0,8,"Ryan Borucki","16350",621366
"Tyler Mahle","SFG","ST",31,3,0,0,4,4,0,0,0,0,0,10,40,2,0,0,0,7,0,0,0,0,13,"Tyler Mahle","16358",641816
"Reynaldo López","ATL","ST",32,2,1,2.842104549883654,4,4,0,0,0,0,0,12.2,55,11,4,4,0,6,0,0,0,0,14,"Reynaldo Lopez","16400",625643
"Scott Blewett","STL","ST",30,1,0,1.5,6,0,0,0,0,0,1,6,24,4,2,1,0,3,0,1,0,0,7,"Scott Blewett","16427",656240
"Ryan Yarbrough","NYY","ST",34,1,0,1.8,2,1,0,0,0,0,0,5,21,5,1,1,0,1,0,0,0,0,6,"Ryan Yarbrough","16502",642232
"Austin Gomber","TEX","ST",32,0,1,5.86956278362988,3,2,0,0,0,1,0,7.2,36,10,5,5,4,4,0,0,0,0,6,"Austin Gomber","16561",596295
"Bryan Abreu","HOU","ST",29,0,0,4.5,6,0,0,0,0,0,1,6,26,5,3,3,3,4,0,0,1,0,4,"Bryan Abreu","16609",650556
"Jeff Brigham","CHC","ST",34,0,0,4.5,6,0,0,0,1,0,0,6,28,6,5,3,2,4,0,0,0,0,8,"Jeff Brigham","16631",656257
"Ryan Thompson","ARI","ST",34,1,0,6.136366296406788,8,0,0,0,0,1,0,7.1,32,9,5,5,1,0,0,1,2,0,6,"Ryan Thompson","16647",657044
"Tim Hill","NYY","ST",36,0,0,0,5,0,0,0,0,0,1,5.1,18,3,0,0,0,0,0,0,0,0,7,"Tim Hill","16814",657612
"Elieser Hernández","ATL","ST",31,0,0,3.6,2,0,0,0,0,0,0,5,19,4,2,2,2,0,0,0,0,0,2,"Elieser Hernandez","16933",622694
"Sean Newcomb","CHW","ST",33,1,0,6,5,2,0,0,0,0,1,12,58,16,10,8,3,4,0,1,0,0,11,"Sean Newcomb","16943",656794
"Grant Holmes","ATL","ST",30,0,0,0,4,3,0,0,0,0,1,12.1,46,3,0,0,0,6,0,1,0,0,16,"Grant Holmes","16944",656550
"Tanner Banks","PHI","ST",34,0,0,4.5,6,1,0,0,0,0,1,6,21,3,3,3,2,0,0,0,0,0,3,"Tanner Banks","16990",621383
"Framber Valdez","DET","ST",32,1,0,0.75,3,3,0,0,0,0,0,12,46,10,2,1,0,0,0,0,0,0,12,"Framber Valdez","17295",664285
"Matt Gage","SFG","ST",33,0,0,3.37500201165796,6,0,0,0,0,0,3,5.1,19,3,2,2,1,0,0,0,0,0,7,"Matt Gage","17381",657424
"Erick Fedde","CHW","ST",33,0,1,3.1153834726687677,3,1,0,0,0,1,0,8.2,35,9,3,3,1,2,0,0,0,0,7,"Erick Fedde","17425",607200
