Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Kemp Alderman","MIA",2,7,6,2,1,0,0,0,1,1,0,0,2,0,0,0,,0,0,0.248097,0.0537327,0.271633,0.197814,0.292671,0.4159,0.305278,0.708571,0.167804,5.48293,0.314856,0,-0.00537683,0.753907,-0.0425634,93.3693,-0.00537683,0.0528881,-0.058350727427750826,-0.01933416724205017,0.0149899,999,,,,,,,5.2,2.6,5.2,2.6,,,,,,,,,,,,,,,,,,,"Kemp Alderman","sa3022562",694580
"Patrick Wisdom","SEA",2,7,6,1,1,0,0,0,1,1,1,0,2,0,0,0,,0,0,0.212808,0.0902098,0.330443,0.272997,0.292221,0.426243,0.310155,0.718464,0.213435,4.11566,0.270615,-0.000463675,-0.00150472,0.775596,-0.015769,104.73,-0.00196839,0,0.03536587138660252,-0.11959876865148544,0.0149735,999,,,,,,,2.6,1.3,2.6,1.3,,,,,,,,,,,,,,,,,,,"Patrick Wisdom","13602",621550
"Rece Hinds","CIN",2,7,6,1,1,0,0,0,1,1,0,0,2,0,0,0,,0,0,0.235372,0.0585681,0.334038,0.175334,0.28563,0.437002,0.309669,0.722632,0.20163,6.11918,0.316217,0.0000814925,0.00746465,0.777938,-0.0185327,92.8381,0.00754614,0.044022,-0.0496713207103312,-0.02820022776722908,0.0149708,999,,,,,,,-0.4,-0.2,-0.4,-0.2,,,,,,,,,,,,,,,,,,,"Rece Hinds","27493",677956
"Gustavo Campero","LAA",2,7,6,1,1,0,0,0,1,1,0,0,1,0,0,0,,0,0,0.238855,0.0713315,0.208159,0.342678,0.313447,0.391152,0.309122,0.704599,0.152298,6.41413,0.279346,-0.0000151961,0.0201414,0.769976,-0.0213893,96.308,0.0201262,-0.00673697,-0.00901799276471138,-0.07849623169749975,0.0146378,999,,,,,,,-0.4,-0.2,-0.4,-0.2,,,,,,,,,,,,,,,,,,,"Gustavo Campero","22707",672569
"Josh Rojas","KCR",2,7,6,1,1,0,0,0,1,1,1,0,1,0,0,0,,0,0,0.241257,0.0889456,0.204131,0.435728,0.311005,0.351934,0.294041,0.662939,0.110677,4.79745,0.292704,-0.00110432,0.0116307,0.696849,-0.104727,84.0811,0.0105264,-0.00188048,-0.11675618402659893,0.02234791242517531,0.0142368,999,,,,,,,2.6,1.3,2.6,1.3,,,,,,,,,,,,,,,,,,,"Josh Rojas","19734",668942
"Brandon Valenzuela","TOR",3,12,11,2,2,0,0,0,1,1,1,0,3,0,0,0,,0,0,0.209782,0.0851082,0.264382,0.321914,0.279947,0.339933,0.274486,0.61988,0.130151,2.21874,0.264786,-0.000133333,-0.0146836,1.07042,-0.385983,74.2303,-0.0148169,-0.138998,-0.38918680883944035,0.10174259543418884,0.0140081,999,,,,,,,3.2,1.066666666,3.2,1.066666666,,,,,,,,,,,,,,,,,,,"Brandon Valenzuela","sa3005729",678218
"Willie MacIver","TEX",2,6,6,1,1,0,0,0,1,1,0,0,2,0,0,0,,0,0,0.218282,0.0766475,0.267454,0.286582,0.290106,0.341731,0.280544,0.631837,0.123449,4.80509,0.283247,-0.0000670968,0.00102076,0.565522,-0.162679,79.2052,0.000953666,-0.0485811,-0.15009530767565593,0.0717892237007618,0.0136969,999,,,,,,,-0.4,-0.2,-0.4,-0.2,,,,,,,,,,,,,,,,,,,"Willie MacIver","24641",680862
"Max Anderson","DET",2,7,6,2,1,0,0,0,1,1,0,0,1,0,0,0,,0,0,0.248599,0.0441303,0.201368,0.219153,0.285351,0.388331,0.291821,0.673682,0.139733,2.61373,0.287483,-0.0000236364,-0.00854648,0.680261,-0.11621,85.3177,-0.00857012,0.0024384,-0.12521708756685257,0.02651247358880937,0.0136451,999,,,,,,,5.2,2.6,5.2,2.6,,,,,,,,,,,,,,,,,,,"Max Anderson","sa3022567",801194
"Kahlil Watson","CLE",2,7,6,1,1,0,0,0,1,1,1,0,2,0,0,0,,0,0,0.213764,0.0828501,0.311667,0.265828,0.286721,0.372751,0.289306,0.659472,0.158987,5.72787,0.28635,0,0.00583877,0.662224,-0.129141,85.0205,0.00583877,-0.0189273,-0.1124064065515995,0.004992449656128883,0.0126018,999,,,,,,,2.6,1.3,2.6,1.3,,,,,,,,,,,,,,,,,,,"Kahlil Watson","sa3017513",696135
"Garrett Stubbs","PHI",2,6,6,1,1,0,0,0,1,1,0,0,1,0,0,0,,0,0,0.221469,0.0800116,0.241899,0.330764,0.292911,0.333378,0.279067,0.626289,0.111909,3.60995,0.277869,-0.000427143,-0.00260345,0.558136,-0.170066,75.1448,-0.00303059,-0.0194325,-0.18458279478363693,0.10093791224062443,0.012414,999,,,,,,,-0.4,-0.2,-0.4,-0.2,,,,,,,,,,,,,,,,,,,"Garrett Stubbs","18067",596117
